trial_id,config_id,hidden1,hidden2,activation,dropout,optimizer,learning_rate,weight_decay,epochs,plqy_val_spearman,emi_val_spearman,em_val_spearman,abs_val_spearman,weighted_val_spearman,macro_val_spearman,worst_property_val_spearman,fold_weighted_spearman_mean,fold_weighted_spearman_std,runtime_seconds,rank
65,84e366cce4faa8aa,64,32,leaky_relu,0.15,adam,0.000868422081016009,5.8227148141978355e-06,500,0.616630263416517,0.7012051514778028,0.48252165935122865,0.6940261603095859,0.6310563284911787,0.6235958086387836,0.48252165935122865,0.631360798534404,0.007336313119227482,90.10586428642273,1
45,49f686895c06b7a9,192,48,leaky_relu,0.25,adam,0.000986217081203143,0.001377790947172192,250,0.6227014962601767,0.7006499038089361,0.4826769752759238,0.6907574619513821,0.6308830143259768,0.6241964593241046,0.4826769752759238,0.6314191520293949,0.007888346384189024,130.54597401618958,2
64,1ac8614c72fc3178,256,32,leaky_relu,0.25,adamw,0.0003709192007388982,2.59355495536985e-07,500,0.6219434197266278,0.7005550986867223,0.4791666885129392,0.6934237313342017,0.6307559635304243,0.6237722345651228,0.4791666885129392,0.631730851611864,0.008891659690974899,299.8761088848114,3
10,d7103c5fa6d8cfda,96,32,relu,0.1,adamw,0.0005474597670531609,2.443678860777235e-05,500,0.6190721865305139,0.7009825132657078,0.48094116446592733,0.6924413822759811,0.6304943042951593,0.6233593116345325,0.48094116446592733,0.6308556573857073,0.005166451508689694,126.61368703842163,4
35,6b7a9e51d2148382,192,128,leaky_relu,0.1,adamw,0.0010062606312794106,0.0011554639157104988,150,0.6215132710356386,0.7004341930364413,0.48010268103554543,0.6919586525719175,0.6303964843547586,0.6235021994198857,0.48010268103554543,0.6308188456103141,0.00725551358284199,155.55571508407593,5
4,f564a0dc9cc3b7a5,160,32,relu,0.2,adamw,0.0005410586419079254,2.1034302148273878e-05,650,0.618256936272497,0.701147219707354,0.47828238423367053,0.6942145828943725,0.6303365215148656,0.6229752807769735,0.47828238423367053,0.6309371185686385,0.0057970193800510016,250.06887793540955,6
3,a09b1925304c48e3,192,32,leaky_relu,0.25,adamw,0.0013507140157194006,0.0010705761930299078,150,0.6206658520420428,0.7006248680392128,0.48335474558458025,0.6893638122673048,0.6302399649666168,0.6235023194832852,0.48335474558458025,0.6307153545847325,0.008027740024813742,71.43860268592834,7
15,84d18d04c11ae6f5,96,96,leaky_relu,0.15,adam,0.00022184201381076471,0.0004780637885050192,650,0.6174661757475389,0.7023176106929578,0.48314830720106144,0.6897440625089528,0.6302133791010823,0.6231690390376278,0.48314830720106144,0.6307183893718232,0.008700173335214745,298.01998710632324,8
79,7142ac8b64abb7b6,192,32,relu,0.1,adam,0.0004472796279674344,1.405265051160516e-07,350,0.6196237988589823,0.7009464060593624,0.4795169600110753,0.6919295227727938,0.6300582302367058,0.6230041719255535,0.4795169600110753,0.6305721493116037,0.006684715881006392,142.33116626739502,9
8,a09cc8574a12feae,192,96,leaky_relu,0.25,adamw,0.0010401806307310227,9.28968936842458e-07,250,0.6219304149204232,0.7003930922530084,0.47657162421810656,0.6929712827375019,0.6299258799430401,0.6229666035322601,0.47657162421810656,0.6304305261510839,0.007666945935083563,201.3313431739807,10
