model_family,case_id,case_name,property,main_prediction,pre_AE,official_rf_pre_AE,delta_vs_official_rf
mlp_log_hpo100,dye7_ethanol,Octupolar merocyanine Dye 7 - ethanol,abs,611.2688354492187,60.90995083919369,62.02297787475583,-1.1130270355621406
mlp_log_hpo100,dye7_ethanol,Octupolar merocyanine Dye 7 - ethanol,emi,667.0002197265625,47.771214599097995,51.47632385253905,-3.7051092534410586
mlp_log_hpo100,dye7_ethanol,Octupolar merocyanine Dye 7 - ethanol,plqy,0.0931801050901413,0.07008355141542313,0.1026695228754282,-0.03258597146000507
mlp_log_hpo100,dye7_ethanol,Octupolar merocyanine Dye 7 - ethanol,em,4.853773975372315,0.26244013940148725,0.36333269290447767,-0.10089255350299042
mlp_log_hpo100,hbo3_ethanol,HBO 3 - ethanol,abs,354.5566101074219,24.598107551610173,48.693765075683594,-24.09565752407342
mlp_log_hpo100,hbo3_ethanol,HBO 3 - ethanol,emi,457.76898803710935,26.805144616044448,67.08825433349611,-40.283109717451666
mlp_log_hpo100,hbo3_ethanol,HBO 3 - ethanol,plqy,0.20272347033023835,0.1621082817185571,0.16371280566799637,-0.0016045239494392738
mlp_log_hpo100,hbo3_ethanol,HBO 3 - ethanol,em,4.427272701263428,0.29213472617472896,0.4423745711910616,-0.15023984501633264
mlp_log_hpo100,hbo3_dmf,HBO 3 - DMF,abs,355.56463623046875,31.4767529630775,53.89012393188475,-22.41337096880725
mlp_log_hpo100,hbo3_dmf,HBO 3 - DMF,emi,472.4697204589844,43.35379086280085,69.15047741699216,-25.79668655419131
mlp_log_hpo100,hbo3_dmf,HBO 3 - DMF,plqy,0.3164402484893799,0.23350986601149085,0.1629951186367273,0.07051474737476354
mlp_log_hpo100,hbo3_dmf,HBO 3 - DMF,em,4.381809425354004,0.2754610428362777,0.46546893613595375,-0.19000789329967605
mlp_log_hpo100,probe3b_ethanol,Fluorescent probe 3b - ethanol,abs,317.2378784179688,22.15432056242225,57.47911531066893,-35.32479474824668
mlp_log_hpo100,probe3b_ethanol,Fluorescent probe 3b - ethanol,emi,380.5506164550781,17.20950451054251,59.473894927978506,-42.264390417436
mlp_log_hpo100,probe3b_ethanol,Fluorescent probe 3b - ethanol,plqy,0.3135544776916504,0.1514392507172095,0.12702493208611004,0.02441431863109947
mlp_log_hpo100,probe3b_ethanol,Fluorescent probe 3b - ethanol,em,4.3390120506286625,0.17808449304694576,0.38291064752951937,-0.2048261544825736
